Re,alpha,CL,CD,CM
20000,-20,-0.79877144478515,0.24148861359580923,0.06379138209931816
20000,-19.5,-0.7810361279921593,0.23631740205246768,0.05975865897751651
20000,-19,-0.763350426337726,0.23106427472329796,0.055772286627396084
20000,-18.5,-0.7457857199091056,0.22571735767854598,0.05182704543465729
20000,-18,-0.7284115328444992,0.22026599797987348,0.047917426754083614
20000,-17.5,-0.7112879517068339,0.21470225278131283,0.04403890382846902
20000,-17,-0.6944603633153325,0.20902144985707324,0.040188728795682416
20000,-16.5,-0.6779590102957005,0.20322132425927208,0.03636600698000029
20000,-16,-0.6618044405933434,0.1972997286065682,0.03257111928947938
20000,-15.5,-0.6460184529903221,0.19125134246450537,0.028804910739116535
20000,-15,-0.6306390356674203,0.18506411309789597,0.025068393561786563
20000,-14.5,-0.6157363405404941,0.17871667930023674,0.021363955532439614
20000,-14,-0.601423661371957,0.17217925426111091,0.017698753987445512
20000,-13.5,-0.5878528810712396,0.16542221413862224,0.0140890698905884
20000,-13,-0.5751826864037023,0.15843641483628756,0.0105606262583563
20000,-12.5,-0.5635189832917955,0.15126080330456265,0.007138552100892562
20000,-12,-0.5528546505520977,0.14399332559091674,0.003830041504044654
20000,-11.5,-0.5430704788898688,0.13675258241927912,0.0006160723341593607
20000,-11,-0.534057305545603,0.12959969295072749,-0.002542997778759717
20000,-10.5,-0.5259041966475517,0.1224911375887374,-0.0057082833427128
20000,-10,-0.5189644971374376,0.11530828258983636,-0.008974759949407551
20000,-9.5,-0.5137137098559704,0.10791493964259623,-0.012467070694141902
20000,-9,-0.5105183991304527,0.10017347670812544,-0.01629132721100398
20000,-8.5,-0.5094046187344063,0.09192984543981604,-0.020458966034192845
20000,-8,-0.5096487762530085,0.08307187928782081,-0.024964408350792045
20000,-7.5,-0.508683468496091,0.0737285181236944,-0.03025781153320912
20000,-7,-0.5001973591731296,0.06433813464670968,-0.036358805304908814
20000,-6.5,-0.4786849972343097,0.0553484522187916,-0.04037682871476024
20000,-6,-0.4474485976240443,0.04776312932183297,-0.04177803554195939
20000,-5.5,-0.4093865178045112,0.04233393800019473,-0.041826065646227324
20000,-5,-0.36694715015485696,0.03841682821745869,-0.04107422791939745
20000,-4.5,-0.32220274490727935,0.03543885153733296,-0.040095407015249426
20000,-4,-0.2759920229064184,0.03310525695834431,-0.03947750368819493
20000,-3.5,-0.22849843993161384,0.031153107729567295,-0.03953254106778283
20000,-3,-0.17948751853344286,0.029223584903444313,-0.039911150609682054
20000,-2.5,-0.12832934782596178,0.02734005890133896,-0.039693688339613696
20000,-2,-0.07607557950778224,0.02595868953896322,-0.03877682173090126
20000,-1.5,-0.01800322607242505,0.025092604087968918,-0.039276438250714925
20000,-1,0.04538145294444493,0.024858229145331926,-0.041107404210504385
20000,-0.5,0.10548055422919272,0.02497660959230725,-0.042265128129737685
20000,0,0.1604586967840987,0.025231488107779632,-0.04232358876977281
20000,0.5,0.21308532515979847,0.02557664640058455,-0.041833772342784944
20000,1,0.2655708819049765,0.02600718509813361,-0.04126449764735661
20000,1.5,0.31853327735904513,0.026521410832990824,-0.04077013208033609
20000,2,0.37169617688145995,0.027115823443218872,-0.04030967813535463
20000,2.5,0.4246044172562472,0.027784529778975015,-0.03977379052282477
20000,3,0.4769534801768832,0.028517783329170612,-0.03904890604302376
20000,3.5,0.5285771889852787,0.029307914681737667,-0.03805184361503265
20000,4,0.5791915508111787,0.03016508367367368,-0.036761029058721924
20000,4.5,0.6281714401256715,0.031121501221596414,-0.035207859539713005
20000,5,0.67464764784712,0.0322128975483451,-0.03340199800843004
