Re,alpha,CL,CD,CM
20000,-20,-0.576976943112245,0.2137000528093788,0.018254640182374878
20000,-19.5,-0.5592268606146704,0.20854598597523985,0.014630284578108234
20000,-19,-0.5416093043896637,0.20333060367608088,0.011045430223443934
20000,-18.5,-0.5241566769867382,0.19805212741373124,0.007495920507880272
20000,-18,-0.5068929998191282,0.192710864717923,0.0039806235458614975
20000,-17.5,-0.48983566988749394,0.18730874488227228,0.000501691618329685
20000,-17,-0.4730007245241281,0.18184810682819866,-0.0029356907185145707
20000,-16.5,-0.45641103189964344,0.17633003096527242,-0.0063237992084723
20000,-16,-0.44010664060487553,0.17075260791430108,-0.009652739426375014
20000,-15.5,-0.4241566401933177,0.16510959888195428,-0.012910288345179773
20000,-15,-0.40867174546004753,0.15939006676149567,-0.01608082187293399
20000,-14.5,-0.39381603270489607,0.15357973397152735,-0.019143165119024176
20000,-14,-0.37981516718853225,0.14766489116542428,-0.022067845880670265
20000,-13.5,-0.3669582929491868,0.14163942244866629,-0.024815327785158842
20000,-13,-0.35559138575536964,0.13551465392262357,-0.027337737999774004
20000,-12.5,-0.3460960804097366,0.12932936316892957,-0.02958582871912655
20000,-12,-0.3388368575530768,0.12315211509508914,-0.03152021211043932
20000,-11.5,-0.3340626166806063,0.11706309656725948,-0.033128227026654584
20000,-11,-0.33178541262248024,0.11110883818878967,-0.03446023017556951
20000,-10.5,-0.331665387404409,0.10524658225669685,-0.035693119981855544
20000,-10,-0.33287228056025214,0.09931663905274789,-0.037172354095762555
20000,-9.5,-0.33391770631631845,0.0930730161452842,-0.03934383327026172
20000,-9,-0.3325654739834559,0.08627335062199024,-0.04257265126941372
20000,-8.5,-0.32597736442149117,0.07881242348843906,-0.046998493508220704
20000,-8,-0.311241662070583,0.07086094150607185,-0.05266061230565644
20000,-7.5,-0.2852193666399028,0.06291778134653332,-0.059777248272677753
20000,-7,-0.24374317085098102,0.05556962133963975,-0.06709865161940358
20000,-6.5,-0.1919973524031578,0.04899312854048213,-0.07188155959950668
20000,-6,-0.139069718242147,0.043857382816325716,-0.07461056898405194
20000,-5.5,-0.08570708273253144,0.040490219407416324,-0.07595333811150498
20000,-5,-0.03221599921057417,0.03828212045606609,-0.07623052958831371
20000,-4.5,0.020654298274178876,0.03671419115016009,-0.07589287942488805
20000,-4,0.07257610701396541,0.03555383752283375,-0.07535976834671033
20000,-3.5,0.12368494625861536,0.03474848970667254,-0.07496705224499153
20000,-3,0.1742001412472855,0.03419830416737695,-0.07485625531934545
20000,-2.5,0.2236810845685095,0.033558851973360594,-0.07459867703101399
20000,-2,0.2703150423714462,0.03237676121842292,-0.07327989125179733
20000,-1.5,0.3147795699108564,0.031136694581705163,-0.07142036837184218
20000,-1,0.3612045753491302,0.03107365247432418,-0.06998733846710305
20000,-0.5,0.40753378789313605,0.03181474167150189,-0.06848529103545414
20000,0,0.45319105000108084,0.03283544893820354,-0.06695286218263467
20000,0.5,0.49940663783746336,0.03398300163361978,-0.0657055291165139
