Re,alpha,CL,CD,CM
20000,-20,-0.8711467327027858,0.2383010759557221,0.07877201058240108
20000,-19.5,-0.855162311650472,0.23230841081195233,0.07422642073868328
20000,-19,-0.8393904308087566,0.22618169152439338,0.06972146317219222
20000,-18.5,-0.8238833487756757,0.21991810962003663,0.06526136493961882
20000,-18,-0.8086984900572841,0.21351603429328256,0.060850305842031605
20000,-17.5,-0.7938908536800605,0.20697829878500795,0.056495104898539615
20000,-17,-0.7795054048036367,0.20031523332452536,0.0522066341273202
20000,-16.5,-0.7655757786992227,0.1935458233749313,0.04799732821867473
20000,-16,-0.7521324894157512,0.18669540660333775,0.04387415301356082
20000,-15.5,-0.7392108015834276,0.17978895713131823,0.03983152121810194
20000,-15,-0.7268442315326358,0.17284003228335917,0.03585032381859222
20000,-14.5,-0.7150619350132172,0.16583521305440457,0.03190146810207379
20000,-14,-0.7039490391432353,0.15871091765546302,0.027946693409033933
20000,-13.5,-0.6938000536933804,0.1513254762564529,0.023940171275517223
20000,-13,-0.6852714767088003,0.1434614045983235,0.019844118286788025
20000,-12.5,-0.6793329968804123,0.13491008013917338,0.015644639652473098
20000,-12,-0.6769779912079236,0.12559439733715647,0.011273547106032258
20000,-11.5,-0.6793149462849866,0.11547691940001682,0.006252763615415574
20000,-11,-0.6895176491840529,0.10396635599679623,-0.0006527611040849826
20000,-10.5,-0.7119310852718141,0.09022662900108679,-0.009343784709194261
20000,-10,-0.7359076913615658,0.0766951823940067,-0.015902792014367204
20000,-9.5,-0.7473051816116442,0.06663415744685922,-0.01862119839672951
20000,-9,-0.745963691301562,0.05958634621933931,-0.018973408910311674
20000,-8.5,-0.733486305463185,0.05420949697997158,-0.018259836412042006
20000,-8,-0.7118007414545258,0.04981382724389183,-0.017136494858959465
20000,-7.5,-0.6836785001157185,0.046076276592865575,-0.015858332684387605
20000,-7,-0.6517812764480041,0.04279856146486373,-0.014514091029768575
20000,-6.5,-0.6181356497207606,0.03983492509854504,-0.013123204000415677
20000,-6,-0.5839200969109812,0.037085218223087746,-0.011631243872999183
20000,-5.5,-0.5489841602914027,0.03456554305129677,-0.009902808834264639
20000,-5,-0.51191722396432,0.03247954689765072,-0.007844485473438323
20000,-4.5,-0.4720447616042742,0.030993476016133795,-0.005561721265858054
20000,-4,-0.43004999422578827,0.02996782402563371,-0.0031748002392934143
20000,-3.5,-0.3864865578612863,0.029183656217138018,-0.0007035456862132959
20000,-3,-0.34139293559554706,0.028523199756483573,0.0017703444220344207
20000,-2.5,-0.29426350431433407,0.027948061993517414,0.003912374085808152
20000,-2,-0.24384429934820778,0.027462452421692485,0.005202843953816366
20000,-1.5,-0.18890558950242364,0.027086791547014686,0.0053256481906031805
20000,-1,-0.12924338601404733,0.02682945978609387,0.004309474003975707
20000,-0.5,-0.06571588766453425,0.026681941977483938,0.002402107574870096
20000,0,-5.551115123125783e-17,0.026634048788976936,-2.914335439641036e-17
20000,0.5,0.06571588766453426,0.026681941977483914,-0.0024021075748701603
20000,1,0.12924338601404706,0.02682945978609387,-0.004309474003975651
20000,1.5,0.1889055895024227,0.027086791547014686,-0.0053256481906031935
20000,2,0.24384429934820706,0.02746245242169247,-0.005202843953816319
20000,2.5,0.29426350431433396,0.027948061993517428,-0.003912374085808219
20000,3,0.34139293559554695,0.028523199756483573,-0.0017703444220344567
20000,3.5,0.386486557861286,0.029183656217138004,0.0007035456862132712
20000,4,0.430049994225788,0.0299678240256337,0.003174800239293367
20000,4.5,0.472044761604274,0.030993476016133795,0.00556172126585796
20000,5,0.5119172239643199,0.032479546897650736,0.007844485473438172
20000,5.5,0.5489841602914022,0.03456554305129677,0.009902808834264538
20000,6,0.5839200969109813,0.037085218223087746,0.01163124387299919
20000,6.5,0.61813564972076,0.03983492509854504,0.01312320400041577
20000,7,0.6517812764480047,0.04279856146486377,0.014514091029768536
20000,7.5,0.6836785001157186,0.046076276592865575,0.01585833268438762
20000,8,0.7118007414545255,0.04981382724389187,0.017136494858959458
20000,8.5,0.7334863054631855,0.05420949697997158,0.018259836412042058
20000,9,0.7459636913015621,0.05958634621933934,0.0189734089103117
20000,9.5,0.7473051816116438,0.0666341574468593,0.018621198396729474
20000,10,0.7359076913615656,0.0766951823940067,0.015902792014367204
20000,10.5,0.7119310852718141,0.09022662900108694,0.009343784709194164
20000,11,0.6895176491840526,0.10396635599679623,0.000652761104084984
20000,11.5,0.6793149462849861,0.11547691940001688,-0.0062527636154156045
20000,12,0.6769779912079228,0.1255943973371564,-0.011273547106032202
20000,12.5,0.6793329968804117,0.13491008013917344,-0.01564463965247309
20000,13,0.6852714767088002,0.14346140459832335,-0.019844118286788073
20000,13.5,0.69380005369338,0.15132547625645285,-0.023940171275517313
20000,14,0.7039490391432351,0.15871091765546302,-0.027946693409033947
20000,14.5,0.7150619350132167,0.16583521305440466,-0.03190146810207369
20000,15,0.7268442315326356,0.17284003228335926,-0.03585032381859228
20000,15.5,0.7392108015834273,0.17978895713131823,-0.03983152121810198
20000,16,0.7521324894157517,0.1866954066033379,-0.043874153013560915
20000,16.5,0.7655757786992224,0.19354582337493137,-0.04799732821867475
20000,17,0.7795054048036367,0.20031523332452544,-0.05220663412732033
20000,17.5,0.79389085368006,0.20697829878500804,-0.056495104898539636
20000,18,0.8086984900572837,0.21351603429328256,-0.06085030584203159
20000,18.5,0.8238833487756758,0.21991810962003672,-0.0652613649396189
20000,19,0.8393904308087562,0.22618169152439327,-0.06972146317219227
20000,19.5,0.8551623116504715,0.23230841081195255,-0.07422642073868316
20000,20,0.8711467327027859,0.2383010759557221,-0.07877201058240095
20000,20.5,0.8873009530386574,0.2441612316888607,-0.08335184852762192
20000,21,0.9035925540020713,0.24988796361925333,-0.0879564563604573
20000,21.5,0.9199974848670156,0.2554778734495087,-0.09257339235142162
20000,22,0.9364962105234071,0.2609259705437401,-0.09718814600714756
20000,22.5,0.9530687580940027,0.2662271954441326,-0.1017854919945691
20000,23,0.9696896289743848,0.27137824708292596,-0.10635099667183608
20000,23.5,0.986323833016863,0.27637927981814114,-0.11087234184070356
20000,24,1.0029253071046236,0.28123496428398215,-0.11534014847786782
20000,24.5,1.0194383737770263,0.2859545203057826,-0.1197481186387837
20000,25,1.035801813988353,0.2905506714684666,-0.12409254369278966
20000,-20,-0.8770617947131569,0.2506017763746935,0.08010711800714398
20000,-19.5,-0.8604669559154942,0.24521941492059696,0.07608252458952156
20000,-19,-0.8439719523501414,0.23967451858502695,0.07208055495420308
20000,-18.5,-0.8276406345979178,0.23394458905956775,0.06807609173872384
20000,-18,-0.8115611349269074,0.22798881646295455,0.06403262140243546
20000,-17.5,-0.795860939204289,0.2217351305832529,0.05989909083444518
20000,-17,-0.78073817945073,0.2150687200680985,0.055612024805467695
20000,-16.5,-0.7664889610875428,0.2078428048649402,0.051111598262618685
20000,-16,-0.753465899602413,0.19994635672449976,0.04637703330942058
20000,-15.5,-0.7419084548444803,0.19143572586213548,0.04146995373055073
20000,-15,-0.731711029201321,0.18263821636686953,0.036547979887567875
20000,-14.5,-0.7223362308433364,0.17406883846222695,0.03180938797666657
20000,-14,-0.7130572285138238,0.16613519210377717,0.02738476391692533
20000,-13.5,-0.7035218738788537,0.15884433335082035,0.023251823385462354
20000,-13,-0.6942956557572569,0.15176861663830307,0.01923863475105621
20000,-12.5,-0.6868367607942002,0.14431851501231532,0.015117273400862904
20000,-12,-0.682835029291568,0.13608630333857452,0.010715123194031662
20000,-11.5,-0.6836420689022733,0.12693085338906926,0.005947343021057783
20000,-11,-0.6903021561919922,0.11681432575819141,0.0007686149305896631
20000,-10.5,-0.7037196040405665,0.10568011893234763,-0.004938660511986735
20000,-10,-0.7242464875164453,0.09346312662545912,-0.0114609360856239
20000,-9.5,-0.7483519041739574,0.08075788429245534,-0.01779606837738231
20000,-9,-0.7636608766650479,0.06993058841523511,-0.02021522198389996
20000,-8.5,-0.7625766561490948,0.06199315801104344,-0.01891194696629445
20000,-8,-0.7466380582207961,0.055633293144467834,-0.016930017390194188
20000,-7.5,-0.719207523621689,0.050102227662271966,-0.015273035590977032
20000,-7,-0.6850620383250863,0.04531537804571905,-0.013799226499057132
20000,-6.5,-0.6489681368324414,0.04125223212404472,-0.012114116939387798
20000,-6,-0.6135868961458308,0.03786207960007784,-0.009649023119759553
20000,-5.5,-0.578593627035636,0.03519533847721136,-0.005842087676921739
20000,-5,-0.5427406496140726,0.03341941443808587,-0.0006157191537839619
20000,-4.5,-0.504395262231435,0.032373582777782545,0.005711697550341703
20000,-4,-0.45701797172876785,0.03175502600482212,0.011227106761206751
20000,-3.5,-0.3864082218982213,0.0312668191183209,0.011330498056424845
20000,-3,-0.29009397874922677,0.030621812153961724,0.004467085099622782
20000,-2.5,-0.19152000525159918,0.0296836988802542,-0.004582617445039078
20000,-2,-0.11626591515849694,0.028618213526989438,-0.010231264414979645
20000,-1.5,-0.07083778753301725,0.027651420718345112,-0.010695672888045817
20000,-1,-0.043870370707875,0.02692852623909515,-0.007799276014909573
20000,-0.5,-0.022089559379041446,0.026501324304742283,-0.0038954266876923827
20000,0,1.1102230246251565e-16,0.026362561415339672,-8.743006318923108e-17
20000,0.5,0.022089559379041362,0.026501324304742283,0.0038954266876923644
20000,1,0.04387037070787486,0.026928526239095137,0.0077992760149095215
20000,1.5,0.07083778753301676,0.027651420718345088,0.010695672888045762
20000,2,0.1162659151584963,0.028618213526989438,0.010231264414979704
20000,2.5,0.19152000525159785,0.0296836988802542,0.004582617445039251
20000,3,0.29009397874922593,0.030621812153961713,-0.004467085099622641
20000,3.5,0.38640822189822077,0.0312668191183209,-0.01133049805642487
20000,4,0.4570179717287677,0.03175502600482212,-0.011227106761206829
20000,4.5,0.5043952622314345,0.03237358277778257,-0.005711697550341848
20000,5,0.5427406496140723,0.03341941443808587,0.000615719153783793
20000,5.5,0.578593627035636,0.03519533847721134,0.005842087676921656
20000,6,0.6135868961458302,0.03786207960007781,0.009649023119759566
20000,6.5,0.6489681368324409,0.04125223212404472,0.012114116939387892
20000,7,0.6850620383250854,0.04531537804571903,0.013799226499057163
20000,7.5,0.7192075236216877,0.05010222766227201,0.015273035590976921
20000,8,0.7466380582207963,0.05563329314446788,0.016930017390194202
20000,8.5,0.7625766561490942,0.061993158011043464,0.018911946966294408
20000,9,0.763660876665047,0.06993058841523511,0.02021522198390004
20000,9.5,0.7483519041739571,0.08075788429245534,0.017796068377382335
20000,10,0.7242464875164453,0.09346312662545916,0.0114609360856239
20000,10.5,0.7037196040405665,0.10568011893234767,0.004938660511986594
20000,11,0.6903021561919919,0.11681432575819146,-0.0007686149305896325
